industry_name,skill_name,job_count
Abrasives and Nonmetallic Minerals Manufacturing,Engineering,1
Accessible Architecture and Design,Accounting/Auditing,1
Accessible Architecture and Design,Design,5
Accessible Architecture and Design,Engineering,4
Accessible Architecture and Design,Information Technology,3
Accessible Architecture and Design,Project Management,4
Accessible Architecture and Design,Sales,1
Accessible Architecture and Design,Strategy/Planning,2
Accommodation and Food Services,Administrative,1
Accommodation and Food Services,Analyst,1
Accommodation and Food Services,Business Development,1
Accommodation and Food Services,Customer Service,2
Accommodation and Food Services,Distribution,1
Accommodation and Food Services,Human Resources,1
Accommodation and Food Services,Management,1
Accommodation and Food Services,Other,1
Accommodation and Food Services,Sales,1
Accommodation and Food Services,Strategy/Planning,1
Accommodation and Food Services,Training,1
Accounting,Accounting/Auditing,1285
Accounting,Administrative,153
Accounting,Advertising,1
Accounting,Analyst,64
Accounting,Art/Creative,8
Accounting,Business Development,100
Accounting,Consulting,129
Accounting,Customer Service,16
Accounting,Design,7
Accounting,Education,1
Accounting,Engineering,42
Accounting,Finance,907
Accounting,General Business,84
Accounting,Health Care Provider,17
Accounting,Human Resources,49
Accounting,Information Technology,196
Accounting,Legal,21
Accounting,Management,119
Accounting,Manufacturing,46
Accounting,Marketing,17
Accounting,Other,66
Accounting,Product Management,3
Accounting,Project Management,29
Accounting,Public Relations,2
Accounting,Purchasing,14
Accounting,Quality Assurance,6
Accounting,Research,20
Accounting,Sales,142
Accounting,Science,2
Accounting,Strategy/Planning,83
Accounting,Supply Chain,12
Accounting,Training,1
Accounting,Writing/Editing,2
Administration of Justice,Administrative,13
Administration of Justice,Business Development,2
Administration of Justice,Customer Service,3
Administration of Justice,General Business,1
Administration of Justice,Information Technology,2
Administration of Justice,Legal,15
Administration of Justice,Management,2
Administration of Justice,Other,2
Administration of Justice,Sales,1
Administration of Justice,Strategy/Planning,9
Administrative and Support Services,Accounting/Auditing,3
Administrative and Support Services,Administrative,49
Administrative and Support Services,Analyst,1
Administrative and Support Services,Business Development,1
Administrative and Support Services,Customer Service,62
Administrative and Support Services,Design,2
Administrative and Support Services,Education,1
Administrative and Support Services,Engineering,1
Administrative and Support Services,Finance,6
Administrative and Support Services,General Business,8
Administrative and Support Services,Human Resources,3
Administrative and Support Services,Information Technology,3
Administrative and Support Services,Legal,12
Administrative and Support Services,Management,3
Administrative and Support Services,Other,3
Administrative and Support Services,Project Management,3
Administrative and Support Services,Public Relations,1
Administrative and Support Services,Research,1
Administrative and Support Services,Sales,1
Administrative and Support Services,Strategy/Planning,1
Administrative and Support Services,Training,1
Administrative and Support Services,Writing/Editing,2
Advertising Services,Accounting/Auditing,29
Advertising Services,Administrative,34
Advertising Services,Advertising,362
Advertising Services,Analyst,39
Advertising Services,Art/Creative,77
Advertising Services,Business Development,321
Advertising Services,Consulting,29
Advertising Services,Customer Service,454
Advertising Services,Design,72
Advertising Services,Distribution,9
Advertising Services,Education,10
Advertising Services,Engineering,47
Advertising Services,Finance,42
Advertising Services,General Business,13
Advertising Services,Health Care Provider,2
Advertising Services,Human Resources,29
Advertising Services,Information Technology,175
Advertising Services,Legal,16
Advertising Services,Management,432
Advertising Services,Manufacturing,78
Advertising Services,Marketing,849
Advertising Services,Other,41
Advertising Services,Product Management,19
Advertising Services,Production,17
Advertising Services,Project Management,60
Advertising Services,Public Relations,98
Advertising Services,Purchasing,3
Advertising Services,Quality Assurance,2
Advertising Services,Research,13
Advertising Services,Sales,566
Advertising Services,Science,4
Advertising Services,Strategy/Planning,62
Advertising Services,Supply Chain,4
Advertising Services,Training,12
Advertising Services,Writing/Editing,81
Agricultural Chemical Manufacturing,Accounting/Auditing,1
Agricultural Chemical Manufacturing,Administrative,3
Agricultural Chemical Manufacturing,Business Development,1
