skill_name,listed_week,demand_count,growth_rate,momentum_score,trend_score,weekly_slope
Accounting/Auditing,2024-04-01/2024-04-07,496,4.4046,1378.4444,37.774,1092.3333
Accounting/Auditing,2024-04-08/2024-04-14,847,4.4046,1378.4444,37.774,1092.3333
Accounting/Auditing,2024-04-15/2024-04-21,3656,4.4046,1378.4444,37.774,1092.3333
Administrative,2024-04-01/2024-04-07,428,4.8198,1239.037,40.6444,1031.4444
Administrative,2024-04-08/2024-04-14,1041,4.8198,1239.037,40.6444,1031.4444
Administrative,2024-04-15/2024-04-21,3318,4.8198,1239.037,40.6444,1031.4444
Advertising,2024-04-01/2024-04-07,55,5.4667,188.4444,34.5264,150.3333
Advertising,2024-04-08/2024-04-14,109,5.4667,188.4444,34.5264,150.3333
Advertising,2024-04-15/2024-04-21,488,5.4667,188.4444,34.5264,150.3333
Analyst,2024-04-01/2024-04-07,342,5.0182,1085.9259,41.214,858.1111
Analyst,2024-04-08/2024-04-14,604,5.0182,1085.9259,41.214,858.1111
Analyst,2024-04-15/2024-04-21,2829,5.0182,1085.9259,41.214,858.1111
Art/Creative,2024-04-01/2024-04-07,166,4.1165,417.5556,30.428,341.6667
Art/Creative,2024-04-08/2024-04-14,337,4.1165,417.5556,30.428,341.6667
Art/Creative,2024-04-15/2024-04-21,1134,4.1165,417.5556,30.428,341.6667
Business Development,2024-04-01/2024-04-07,1591,3.2803,3245.037,32.2366,2609.4444
Business Development,2024-04-08/2024-04-14,2645,3.2803,3245.037,32.2366,2609.4444
Business Development,2024-04-15/2024-04-21,9068,3.2803,3245.037,32.2366,2609.4444
Consulting,2024-04-01/2024-04-07,176,6.1199,685.6296,46.4502,538.5556
Consulting,2024-04-08/2024-04-14,322,6.1199,685.6296,46.4502,538.5556
Consulting,2024-04-15/2024-04-21,1743,6.1199,685.6296,46.4502,538.5556
Customer Service,2024-04-01/2024-04-07,315,5.9979,1130.2222,49.0693,944.6667
Customer Service,2024-04-08/2024-04-14,897,5.9979,1130.2222,49.0693,944.6667
Customer Service,2024-04-15/2024-04-21,2955,5.9979,1130.2222,49.0693,944.6667
Design,2024-04-01/2024-04-07,218,4.3089,578.2222,33.16,469.6667
Design,2024-04-08/2024-04-14,434,4.3089,578.2222,33.16,469.6667
Design,2024-04-15/2024-04-21,1555,4.3089,578.2222,33.16,469.6667
Distribution,2024-04-01/2024-04-07,22,9.303,124.4444,52.7122,102.3333
Distribution,2024-04-08/2024-04-14,76,9.303,124.4444,52.7122,102.3333
Distribution,2024-04-15/2024-04-21,311,9.303,124.4444,52.7122,102.3333
Education,2024-04-01/2024-04-07,205,4.6417,576.1481,35.4733,475.7778
Education,2024-04-08/2024-04-14,467,4.6417,576.1481,35.4733,475.7778
Education,2024-04-15/2024-04-21,1545,4.6417,576.1481,35.4733,475.7778
Engineering,2024-04-01/2024-04-07,1045,5.4573,3521.7037,51.4282,2851.4444
Engineering,2024-04-08/2024-04-14,2306,5.4573,3521.7037,51.4282,2851.4444
Engineering,2024-04-15/2024-04-21,9179,5.4573,3521.7037,51.4282,2851.4444
