job_id_a,title_a,exp_level_a,salary_a,job_id_b,title_b,exp_level_b,salary_b,shared_skills,similarity
3885835950,Specialty Nurse Educator- ED,Mid-Senior level,,3901388876,Director of Nursing,Director,127500.0,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3901371895,"Lead Software Engineer, Application Support",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901942474,Data Scientist - Interdisciplinary,Entry level,157049.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905640285,Container Platform Reliability Engineer,Not Specified,142854.40000000002,2,1.0
3902842690,Equipment Technician,Entry level,,3885857598,"Senior Mobile Platform Engineer, HMI",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901351244,Lead Software Developer,Not Specified,137500.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905395593,"Fiber Technician, Phoenix, AZ",Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905690215,AI Software Reliability Engineer,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3905332895,Director of Managed Services and Operations,Director,,2,0.6666666666666666
3902842690,Equipment Technician,Entry level,,3889712130,Field Technician (Tom's River and Cherry Hill area),Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3891267291,Recycle Technician,Entry level,34840.0,2,1.0
3902842690,Equipment Technician,Entry level,,3901982514,Full Stack Engineer,Not Specified,149000.0,2,1.0
3902842690,Equipment Technician,Entry level,,3905695052,Electronic Warfare Fleet Liaison,Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901683981,Principal Software Engineer,Director,,2,1.0
3902842690,Equipment Technician,Entry level,,3884433459,Colleague Software Programmer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3901373591,Electrical Engineer,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3894567539,Junior UI Developer (16121),Entry level,,2,1.0
3902842690,Equipment Technician,Entry level,,3894542966,"Senior Manager, Software Engineering, Back End",Mid-Senior level,,2,1.0
3902842690,Equipment Technician,Entry level,,3901353652,Senior Software Engineer - Oracle PL/SQL,Not Specified,,2,1.0
3902842690,Equipment Technician,Entry level,,3902740303,Ames Stores Group - Store Manager,Entry level,,2,1.0
